Date,Price 10g (in INR),GGP (LBMA),USD to INR,Import duty,Inflation Rate (CPI),NIF
03-08-2023,59078.0,1936.9,82.836,15,6.83,19381.65039
04-08-2023,59124.0,1934.0,82.677,15,6.83,19517.0
05-08-2023,59124.0,1934.0,82.677,15,6.83,19517.0
06-08-2023,59124.0,1934.0,82.677,15,6.83,19517.0
07-08-2023,59201.0,1936.9,82.757,15,6.83,19597.30078
08-08-2023,58997.0,1934.8,82.85,15,6.83,19570.84961
09-08-2023,58719.0,1928.4,82.923,15,6.83,19632.55078
10-08-2023,58605.0,1920.1,82.906,15,6.83,19543.09961
11-08-2023,58629.0,1918.05,82.957,15,6.83,19428.30078
12-08-2023,58629.0,1918.05,82.957,15,6.83,19428.30078
13-08-2023,58629.0,1918.05,82.957,15,6.83,19428.30078
14-08-2023,58663.0,1913.5,83.335,15,6.83,19434.55078
15-08-2023,58663.0,1904.1,83.062,15,6.83,19434.55078
16-08-2023,58413.0,1906.8,83.234,15,6.83,19465.0
17-08-2023,58027.0,1893.95,83.098,15,6.83,19365.25
18-08-2023,58098.0,1891.75,83.157,15,6.83,19310.15039
19-08-2023,58098.0,1891.75,83.157,15,6.83,19310.15039
20-08-2023,58098.0,1891.75,83.157,15,6.83,19310.15039
21-08-2023,58164.0,1890.1,83.114,15,6.83,19393.59961
22-08-2023,58221.0,1901.85,83.087,15,6.83,19396.44922
23-08-2023,58430.0,1904.55,82.544,15,6.83,19444.0
24-08-2023,58436.0,1920.7,82.544,15,6.83,19386.69922
25-08-2023,58273.0,1917.85,82.544,15,6.83,19265.80078
26-08-2023,58273.0,1917.85,82.544,15,6.83,19265.80078
27-08-2023,58273.0,1917.85,82.544,15,6.83,19265.80078
28-08-2023,58497.0,1917.85,82.544,15,6.83,19306.05078
29-08-2023,58843.0,1923.5,82.544,15,6.83,19342.65039
30-08-2023,59117.0,1938.35,82.544,15,6.83,19347.44922
31-08-2023,59113.0,1944.2,82.544,15,6.83,19253.80078
01-09-2023,59106.0,1944.3,82.724,15,5.02,19435.30078
02-09-2023,59106.0,1944.3,82.724,15,5.02,19435.30078
03-09-2023,59106.0,1944.3,82.724,15,5.02,19435.30078
04-09-2023,59385.0,1942.05,82.779,15,5.02,19528.80078
05-09-2023,59301.0,1931.8,83.243,15,5.02,19574.90039
06-09-2023,59111.0,1923.45,83.275,15,5.02,19611.05078
07-09-2023,59016.0,1919.85,83.242,15,5.02,19727.05078
08-09-2023,58905.0,1925.55,83.045,15,5.02,19819.94922
09-09-2023,58905.0,1925.55,83.045,15,5.02,19819.94922
10-09-2023,58905.0,1925.55,83.045,15,5.02,19819.94922
11-09-2023,58941.0,1926.6,82.825,15,5.02,19996.34961
12-09-2023,58642.0,1918.9,82.249,15,5.02,19993.19922
13-09-2023,58610.0,1912.15,83.009,15,5.02,20070.0
14-09-2023,58608.0,1906.45,83.118,15,5.02,20103.09961
15-09-2023,58992.0,1918.7,83.104,15,5.02,20192.34961
16-09-2023,58992.0,1918.7,83.104,15,5.02,20192.34961
17-09-2023,58992.0,1918.7,83.104,15,5.02,20192.34961
18-09-2023,59212.0,1926.4,83.359,15,5.02,20133.30078
19-09-2023,59265.0,1935.0,83.442,15,5.02,20133.30078
20-09-2023,59363.0,1930.15,83.06,15,5.02,19901.40039
21-09-2023,58853.0,1923.4,83.122,15,5.02,19742.34961
22-09-2023,58896.0,1926.2,83.109,15,5.02,19674.25
23-09-2023,58896.0,1926.2,83.109,15,5.02,19674.25
24-09-2023,58896.0,1926.2,83.109,15,5.02,19674.25
25-09-2023,58707.0,1922.55,83.109,15,5.02,19674.55078
26-09-2023,58478.0,1912.3,83.109,15,5.02,19664.69922
27-09-2023,57759.0,1895.55,83.109,15,5.02,19716.44922
28-09-2023,57146.0,1874.1,83.109,15,5.02,19523.55078
29-09-2023,57061.0,1871.6,83.109,15,5.02,19638.30078
30-09-2023,57061.0,1871.6,83.109,15,5.02,19638.30078
01-10-2023,57061.0,1871.6,83.109,15,4.87,19638.30078
02-10-2023,57061.0,1831.85,83.359,15,4.87,19638.30078
03-10-2023,56385.0,1828.3,83.236,15,4.87,19528.75
04-10-2023,56229.0,1823.25,83.353,15,4.87,19436.09961
05-10-2023,56112.0,1822.75,83.253,15,4.87,19545.75
06-10-2023,56582.0,1821.9,83.105,15,4.87,19653.5
07-10-2023,56582.0,1821.9,83.105,15,4.87,19653.5
08-10-2023,56582.0,1821.9,83.105,15,4.87,19653.5
09-10-2023,57268.0,1852.3,83.236,15,4.87,19512.34961
10-10-2023,57364.0,1859.7,83.309,15,4.87,19689.84961
11-10-2023,57636.0,1870.0,83.218,15,4.87,19811.34961
12-10-2023,57613.0,1881.15,83.26,15,4.87,19794.0
13-10-2023,58993.0,1887.0,83.28,15,4.87,19751.05078
14-10-2023,58993.0,1887.0,83.28,15,4.87,19751.05078
15-10-2023,58993.0,1887.0,83.28,15,4.87,19751.05078
16-10-2023,58993.0,1914.65,83.202,15,4.87,19731.75
17-10-2023,58922.0,1923.45,83.273,15,4.87,19811.5
18-10-2023,59680.0,1943.85,83.253,15,4.87,19671.09961
19-10-2023,59935.0,1948.65,83.121,15,4.87,19624.69922
20-10-2023,60405.0,1984.2,83.252,15,4.87,19542.65039
21-10-2023,60405.0,1984.2,83.252,15,4.87,19542.65039
22-10-2023,60405.0,1984.2,83.252,15,4.87,19542.65039
23-10-2023,60402.0,1980.95,82.886,15,4.87,19281.75
24-10-2023,60351.0,1967.4,82.886,15,4.87,19281.75
25-10-2023,60652.0,1970.15,82.886,15,4.87,19122.15039
26-10-2023,60735.0,1991.45,82.886,15,4.87,18857.25
27-10-2023,60952.0,1987.6,82.886,15,4.87,19047.25
28-10-2023,60952.0,1987.6,82.886,15,4.87,19047.25
29-10-2023,60952.0,1987.6,82.886,15,4.87,19047.25
30-10-2023,61077.0,1996.15,82.886,15,4.87,19140.90039
31-10-2023,60879.0,1997.6,82.886,15,4.87,19079.59961
01-11-2023,60757.0,1982.5,83.267,15,5.55,18989.15039
02-11-2023,60805.0,1986.7,83.304,15,5.55,19133.25
03-11-2023,60829.0,1988.5,83.159,15,5.55,19230.59961
04-11-2023,60829.0,1988.5,83.159,15,5.55,19230.59961
05-11-2023,60829.0,1988.5,83.159,15,5.55,19230.59961
06-11-2023,60818.0,1987.1,83.223,15,5.55,19411.75
07-11-2023,60365.0,1967.8,83.233,15,5.55,19406.69922
08-11-2023,60043.0,1960.1,83.219,15,5.55,19443.5
09-11-2023,60271.0,1946.75,83.328,15,5.55,19395.30078
10-11-2023,59697.0,1953.45,83.294,15,5.55,19425.34961
11-11-2023,59697.0,1953.45,83.294,15,5.55,19425.34961
12-11-2023,59785.0,1953.45,83.294,15,5.55,19425.34961
13-11-2023,59844.0,1937.45,83.236,15,5.55,19443.55078
14-11-2023,60083.0,1946.55,83.023,15,5.55,19443.55078
15-11-2023,60120.0,1973.4,83.187,15,5.55,19675.44922
16-11-2023,60654.0,1966.5,83.151,15,5.55,19765.19922
17-11-2023,60678.0,1992.15,83.292,15,5.55,19731.80078
18-11-2023,60678.0,1992.15,83.292,15,5.55,19731.80078
19-11-2023,60678.0,1992.15,83.292,15,5.55,19731.80078
20-11-2023,60657.0,1976.05,83.322,15,5.55,19694.0
21-11-2023,61212.0,1988.55,83.346,15,5.55,19783.40039
22-11-2023,61065.0,1999.9,83.334,15,5.55,19811.84961
23-11-2023,61093.0,1992.6,83.344,15,5.55,19802.0
24-11-2023,61352.0,1995.2,83.344,15,5.55,19794.69922
25-11-2023,61352.0,1995.2,83.344,15,5.55,19794.69922
26-11-2023,61352.0,1995.2,83.344,15,5.55,19794.69922
27-11-2023,61557.0,2011.7,83.344,15,5.55,19794.69922
28-11-2023,62409.0,2014.0,83.344,15,5.55,19889.69922
29-11-2023,62470.0,2037.6,83.344,15,5.55,20096.59961
30-11-2023,62639.0,2037.85,83.344,15,5.55,20133.15039
01-12-2023,62876.0,2044.55,83.251,15,5.69,20267.90039
02-12-2023,62876.0,2044.55,83.251,15,5.69,20267.90039
03-12-2023,62876.0,2044.55,83.251,15,5.69,20267.90039
04-12-2023,62302.0,2066.95,83.436,15,5.69,20686.80078
05-12-2023,62600.0,2023.45,83.275,15,5.69,20855.09961
06-12-2023,62269.0,2021.4,83.333,15,5.69,20937.69922
07-12-2023,62290.0,2033.3,83.355,15,5.69,20901.15039
08-12-2023,61597.0,2030.0,83.43,15,5.69,20969.40039
09-12-2023,61597.0,2030.0,83.43,15,5.69,20969.40039
10-12-2023,61597.0,2030.0,83.43,15,5.69,20969.40039
11-12-2023,60986.0,1991.95,83.344,15,5.69,20997.09961
12-12-2023,60984.0,1986.9,83.397,15,5.69,20906.40039
13-12-2023,60992.0,1981.55,83.271,15,5.69,20926.34961
14-12-2023,62229.0,2034.1,83.273,15,5.69,21182.69922
15-12-2023,61991.0,2043.65,83.042,15,5.69,21456.65039
16-12-2023,61991.0,2043.65,83.042,15,5.69,21456.65039
17-12-2023,61991.0,2043.65,83.042,15,5.69,21456.65039
18-12-2023,62057.0,2020.95,83.136,15,5.69,21418.65039
19-12-2023,62211.0,2026.0,83.092,15,5.69,21453.09961
20-12-2023,62151.0,2036.35,83.267,15,5.69,21150.15039
21-12-2023,62257.0,2034.3,83.269,15,5.69,21255.05078
22-12-2023,62657.0,2055.6,83.335,15,5.69,21349.40039
23-12-2023,62657.0,2055.6,83.335,15,5.69,21349.40039
24-12-2023,62657.0,2055.6,83.335,15,5.69,21349.40039
25-12-2023,62657.0,2055.6,83.173,15,5.69,21349.40039
26-12-2023,62722.0,2055.6,83.183,15,5.69,21441.34961
27-12-2023,63292.0,2061.7,83.268,15,5.69,21654.75
28-12-2023,63119.0,2077.8,82.891,15,5.69,21778.69922
29-12-2023,62954.0,2062.4,83.219,15,5.69,21731.40039
30-12-2023,62954.0,2062.4,83.219,15,5.69,21731.40039
31-12-2023,62954.0,2062.4,83.219,15,5.69,21731.40039
01-01-2024,63001.0,2062.4,83.226,15,5.1,21741.90039
02-01-2024,63039.0,2074.9,83.258,15,5.1,21665.80078
03-01-2024,62294.0,2054.05,83.295,15,5.1,21517.34961
04-01-2024,62444.0,2049.05,83.245,15,5.1,21658.59961
05-01-2024,62627.0,2037.7,83.19,15,5.1,21710.80078
06-01-2024,62627.0,2037.7,83.19,15,5.1,21710.80078
07-01-2024,62627.0,2037.7,83.19,15,5.1,21710.80078
08-01-2024,62140.0,2028.0,83.051,15,5.1,21513.0
09-01-2024,62211.0,2038.15,83.126,15,5.1,21544.84961
10-01-2024,62047.0,2036.25,83.006,15,5.1,21618.69922
11-01-2024,61830.0,2031.85,83.079,15,5.1,21647.19922
12-01-2024,62372.0,2039.55,82.879,15,5.1,21894.55078
13-01-2024,62372.0,2039.55,82.879,15,5.1,21894.55078
14-01-2024,62372.0,2039.55,82.879,15,5.1,21894.55078
15-01-2024,62567.0,2053.85,82.841,15,5.1,22097.44922
16-01-2024,62065.0,2039.75,83.088,15,5.1,22032.30078
17-01-2024,61561.0,2027.55,83.216,15,5.1,21571.94922
18-01-2024,61791.0,2012.2,83.163,15,5.1,21462.25
19-01-2024,62021.0,2029.5,83.122,15,5.1,21622.40039
20-01-2024,62021.0,2029.5,83.122,15,5.1,21622.40039
21-01-2024,62021.0,2029.5,83.122,15,5.1,21622.40039
22-01-2024,61888.0,2023.9,83.112,15,5.1,21622.40039
23-01-2024,62003.0,2026.85,83.223,15,5.1,21238.80078
24-01-2024,62072.0,2030.5,83.223,15,5.1,21453.94922
25-01-2024,62036.0,2018.15,83.223,15,5.1,21352.59961
26-01-2024,62036.0,2021.1,83.223,15,5.1,21352.59961
27-01-2024,62036.0,2021.1,83.223,15,5.1,21352.59961
28-01-2024,62036.0,2021.1,83.223,15,5.1,21352.59961
29-01-2024,62234.0,2027.35,83.223,15,5.1,21737.59961
30-01-2024,62371.0,2036.8,83.223,15,5.1,21522.09961
31-01-2024,62865.0,2037.9,83.223,15,5.1,21725.69922
01-02-2024,63079.0,2037.55,82.941,15,5.09,21697.44922
02-02-2024,62639.0,2054.2,83.001,15,5.09,21853.80078
03-02-2024,62639.0,2054.2,83.001,15,5.09,21853.80078
04-02-2024,62639.0,2054.2,83.001,15,5.09,21853.80078
05-02-2024,62542.0,2024.5,83.045,15,5.09,21771.69922
06-02-2024,62322.0,2025.05,83.07,15,5.09,21929.40039
07-02-2024,62305.0,2033.2,82.982,15,5.09,21930.5
08-02-2024,62219.0,2037.05,82.988,15,5.09,21717.94922
09-02-2024,62105.0,2031.65,83.015,15,5.09,21782.5
10-02-2024,62105.0,2031.65,83.015,15,5.09,21782.5
11-02-2024,62105.0,2031.65,83.015,15,5.09,21782.5
12-02-2024,61856.0,2021.0,82.994,15,5.09,21616.05078
13-02-2024,61267.0,2026.2,83.08,15,5.09,21743.25
14-02-2024,61170.0,1990.8,83.043,15,5.09,21840.05078
15-02-2024,61306.0,1996.9,83.008,15,5.09,21910.75
16-02-2024,61498.0,2005.4,83.014,15,5.09,22040.69922
17-02-2024,61498.0,2005.4,83.014,15,5.09,22040.69922
18-02-2024,61498.0,2005.4,83.014,15,5.09,22040.69922
19-02-2024,61641.0,2020.35,83.025,15,5.09,22122.25
20-02-2024,61810.0,2026.8,82.885,15,5.09,22196.94922
21-02-2024,61744.0,2028.8,82.944,15,5.09,22055.05078
22-02-2024,61661.0,2030.9,82.871,15,5.09,22217.44922
23-02-2024,61910.0,2019.3,82.882,15,5.09,22212.69922
24-02-2024,61910.0,2019.3,82.882,15,5.09,22212.69922
